a.C. ;Antes de Cristo
abrev ;Abreviatura
acep ;Acepção
adj ;Adjetivo
adj + sf ;Adjetivo e substantivo feminino
adj + sm ;Adjetivo e substantivo masculino
adj f ;Adjetivo feminino
adj inv ;Adjetivo invariável
adj m ;Adjetivo masculino
adj m+f ;Adjetivo masculino e feminino
adv ;Advérbio
Aeron ;Aeronáutica
afro-hol ;Afro-holandês
Agr ;Agricultura
al ;Alemão
Álg ;Álgebra
Alq ;Alquimia
alto-al ;Alto-alemão
Anat ;Anatomia
Angl ;Anglicismo
anglo-sax ;Anglo-saxão
ant ;Antigo, antiquado
ant alto-al ;Antigo alto-alemão
Antig ;Antiguidade
Antôn ;Antônimo
antr ;Antropônimo
Antrop ;Antropologia
ap ;Apud
Apic ;Apicultura
aportug ;Aportuguesamento
ár ;Árabe
arc ;Arcaísmo
Arit ;Aritmética
Arqueol ;Arqueologia
Arquit ;Arquitetura
art ;Artigo
art def ;Artigo definido
Art Gráf ;Artes Gráficas
art indef ;Artigo indefinido
Artilh ;Artilharia
Astr ;Astronomia
Astrol ;Astrologia
Astronáut ;Astronáutica
aum ;Aumentativo
Autom ;Automobilismo
Av ;Aviação
Avic ;Avicologia
Bacter ;Bacteriologia
baixo-lat ;Baixo-latim
Bel-art ;Belas-artes
Biol ;Biologia
Bioquím ;Bioquímica
Bot ;Botânica
bras ;Brasileirismo
Caligr ;Caligrafia
cap ;Capítulo
Carp ;Carpintaria
cast ;Castelhano
cat ;Catalão
Catól ;Católico
célt ;Céltico
Cer ;Cerâmica
Cf ;Confira ou confronte
ch ;Chulo
chin ;Chinês
Cib ;Cibernética
Cin ;Cinema
cing ;Cingalês
Cir ;Cirurgia
Cit ;Citologia
Cód ;Código
Cód Civ ;Código Civil
Cód Civ Bras ;Código Civil Brasileiro
Cód Com ;Código Comercial
Cód Pen ;Código Penal
col ;Coletivo
Com ;Comércio, Comercial
Comun ;Comunicação
conj ;Conjunção
conj arc ;Conjunção arcaica
